"search_term","result_num","gps_lat","gps_lng","formatted_address","country",
"Glenelg Jetty","1","-34.9802633","138.5156255","Jetty Rd, Glenelg SA 5045, Australia","AUSTRALIA",
"Glenelg Jetty","2","-34.9792705","138.5171805","Jetty St, Glenelg SA 5045, Australia","AUSTRALIA",
"Sydney Opera House","1","-33.8567844","151.2152967","Bennelong Point, Sydney NSW 2000, Australia","AUSTRALIA",
"Uluru","1","-25.3444277","131.0368822","Uluru, Petermann NT 0872, Australia","AUSTRALIA",
"New York,Central Park","1","40.7828647","-73.9653551","Central Park, New York, NY, USA","USA",
"Zimbabwe,Victoria Falls","1","-17.9318052","25.8255575","Victoria Falls, Zimbabwe","ZIMBABWE",
"1 King William St, Adelaide, Australia","1","-34.9219841","138.5990744","1 King William St, Adelaide SA 5000, Australia","AUSTRALIA",
"Eiffel Tower","1","48.85837009999999","2.2944813","Champ de Mars, 5 Avenue Anatole France, 75007 Paris, France","FRANCE",
"Grand Canyon National Park","1","36.1069652","-112.1129972","Grand Canyon National Park, Arizona, USA","USA",
"Big Ben, London","1","51.50072919999999","-0.1246254","Westminster, London SW1A 0AA, UK","UK",
"Kentucky Fried Chicken, Melbourne Central","1","-37.8099976","144.9623372","211 Elizabeth St, Melbourne VIC 3000, Australia","AUSTRALIA",
"Mt Everest","1","27.98785","86.9250261","Mt Everest","MT EVEREST",
"143 E Houston St, New York","1","40.7230108","-73.98998209999999","143 E Houston St, New York, NY 10002, USA","USA",
"Ploshchad (Square)","1","59.9438266","30.3054275","St Petersburg, Russia, 199034","199034",
"ABC, Perth","1","-31.9517472","115.8732883","30 Fielder St, East Perth WA 6004, Australia","AUSTRALIA",
"ABC, Perth","2","-31.7909076","115.8442131","19 Prosperity Ave, Wangara WA 6065, Australia","AUSTRALIA",
